Brew_ID,Name,City,State,region
1,NorthGate Brewing ,Minneapolis,MN,Midwest
2,Against the Grain Brewery,Louisville,KY,South
3,Jack's Abby Craft Lagers,Framingham,MA,Northeast
4,Mike Hess Brewing Company,San Diego,CA,West
5,Fort Point Beer Company,San Francisco,CA,West
6,COAST Brewing Company,Charleston,SC,South
7,Great Divide Brewing Company,Denver,CO,West
8,Tapistry Brewing,Bridgman,MI,Midwest
9,Big Lake Brewing,Holland,MI,Midwest
10,The Mitten Brewing Company,Grand Rapids,MI,Midwest
11,Brewery Vivant,Grand Rapids,MI,Midwest
12,Petoskey Brewing,Petoskey,MI,Midwest
13,Blackrocks Brewery,Marquette,MI,Midwest
14,Perrin Brewing Company,Comstock Park,MI,Midwest
15,Witch's Hat Brewing Company,South Lyon,MI,Midwest
16,Founders Brewing Company,Grand Rapids,MI,Midwest
17,Flat 12 Bierwerks,Indianapolis,IN,Midwest
18,Tin Man Brewing Company,Evansville,IN,Midwest
19,Black Acre Brewing Co.,Indianapolis,IN,Midwest
20,Brew Link Brewing,Plainfield,IN,Midwest
21,Bare Hands Brewery,Granger,IN,Midwest
22,Three Pints Brewing,Martinsville,IN,Midwest
23,Four Fathers Brewing ,Valparaiso,IN,Midwest
24,Indiana City Brewing,Indianapolis,IN,Midwest
25,Burn 'Em Brewing,Michigan City,IN,Midwest
26,Sun King Brewing Company,Indianapolis,IN,Midwest
27,Evil Czech Brewery,Mishawaka,IN,Midwest
28,450 North Brewing Company,Columbus,IN,Midwest
29,Taxman Brewing Company,Bargersville,IN,Midwest
30,Cedar Creek Brewery,Seven Points,TX,South
31,SanTan Brewing Company,Chandler,AZ,West
32,Boulevard Brewing Company,Kansas City,MO,Midwest
33,James Page Brewing Company,Stevens Point,WI,Midwest
34,The Dudes' Brewing Company,Torrance,CA,West
35,Ballast Point Brewing Company,San Diego,CA,West
36,Anchor Brewing Company,San Francisco,CA,West
37,Figueroa Mountain Brewing Company,Buellton,CA,West
38,Avery Brewing Company,Boulder,CO,West
39,Twisted X Brewing Company,Dripping Springs,TX,South
40,Gonzo's BiggDogg Brewing,Kalamazoo,MI,Midwest
41,Big Muddy Brewing,Murphysboro,IL,Midwest
42,Lost Nation Brewing,East Fairfield,VT,Northeast
43,Rising Tide Brewing Company,Portland,ME,Northeast
44,Rivertowne Brewing Company,Export,PA,Northeast
45,Revolution Brewing Company,Chicago,IL,Midwest
46,Tallgrass Brewing Company,Manhattan,KS,Midwest
47,Sixpoint Craft Ales,Brooklyn,NY,Northeast
48,White Birch Brewing,Hooksett,NH,Northeast
49,Firestone Walker Brewing Company,Paso Robles,CA,West
50,SweetWater Brewing Company,Atlanta,GA,South
51,Flying Mouse Brewery,Troutville,VA,South
52,Upslope Brewing Company,Boulder,CO,West
53,Pipeworks Brewing Company,Chicago,IL,Midwest
54,Bent Brewstillery,Roseville,MN,Midwest
55,Flesk Brewing Company,Lombard,IL,Midwest
56,Pollyanna Brewing Company,Lemont,IL,Midwest
57,BuckleDown Brewing,Lyons,IL,Midwest
58,Destihl Brewery,Bloomington,IL,Midwest
59,Summit Brewing Company,St. Paul,MN,Midwest
60,Latitude 42 Brewing Company,Portage,MI,Midwest
61,4 Hands Brewing Company,Saint Louis,MO,Midwest
62,Surly Brewing Company,Brooklyn Center,MN,Midwest
