"","Brewery_id","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State","region"
"1",1,"Get Together",2692,0.045,50,"American IPA",16,"NorthGate Brewing ","Minneapolis","MN","Midwest"
"2",1,"Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16,"NorthGate Brewing ","Minneapolis","MN","Midwest"
"3",1,"Wall's End",2690,0.048,19,"English Brown Ale",16,"NorthGate Brewing ","Minneapolis","MN","Midwest"
"4",1,"Pumpion",2689,0.06,38,"Pumpkin Ale",16,"NorthGate Brewing ","Minneapolis","MN","Midwest"
"5",1,"Stronghold",2688,0.06,25,"American Porter",16,"NorthGate Brewing ","Minneapolis","MN","Midwest"
"6",1,"Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16,"NorthGate Brewing ","Minneapolis","MN","Midwest"
"7",2,"Citra Ass Down",2686,0.08,68,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville","KY","South"
"8",2,"London Balling",2685,0.125,80,"English Barleywine",16,"Against the Grain Brewery","Louisville","KY","South"
"9",2,"35 K",2684,0.077,25,"Milk / Sweet Stout",16,"Against the Grain Brewery","Louisville","KY","South"
"10",2,"A Beer",2683,0.042,42,"American Pale Ale (APA)",16,"Against the Grain Brewery","Louisville","KY","South"
"11",2,"Rules are Rules",2682,0.05,25,"German Pilsener",16,"Against the Grain Brewery","Louisville","KY","South"
"12",2,"Flesh Gourd'n",2681,0.066,21,"Pumpkin Ale",16,"Against the Grain Brewery","Louisville","KY","South"
"13",2,"Sho'nuff",2680,0.04,13,"Belgian Pale Ale",16,"Against the Grain Brewery","Louisville","KY","South"
"14",2,"Bloody Show",2679,0.055,17,"American Pilsner",16,"Against the Grain Brewery","Louisville","KY","South"
"15",2,"Rico Sauvin",2678,0.076,68,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville","KY","South"
"16",2,"Coq de la Marche",2677,0.051,38,"Saison / Farmhouse Ale",16,"Against the Grain Brewery","Louisville","KY","South"
"17",2,"Kamen Knuddeln",2676,0.065,NA,"American Wild Ale",16,"Against the Grain Brewery","Louisville","KY","South"
"18",2,"Pile of Face",2675,0.06,65,"American IPA",16,"Against the Grain Brewery","Louisville","KY","South"
"19",2,"The Brown Note",2674,0.05,20,"English Brown Ale",16,"Against the Grain Brewery","Louisville","KY","South"
"20",3,"House Lager",2673,0.052,18,"Keller Bier / Zwickel Bier",16,"Jack's Abby Craft Lagers","Framingham","MA","Northeast"
"21",3,"Leisure Time",2672,0.048,15,"American Pale Lager",12,"Jack's Abby Craft Lagers","Framingham","MA","Northeast"
"22",3,"Excess IPL",2671,0.072,80,"American India Pale Lager",16,"Jack's Abby Craft Lagers","Framingham","MA","Northeast"
"23",3,"Hoponius Union",2670,0.067,65,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham","MA","Northeast"
"24",3,"Calyptra",2669,0.049,45,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham","MA","Northeast"
"25",4,"Habitus (2014)",2668,0.08,100,"American Double / Imperial IPA",16,"Mike Hess Brewing Company","San Diego","CA","West"
"26",4,"Solis",2667,0.075,85,"American IPA",16,"Mike Hess Brewing Company","San Diego","CA","West"
"27",4,"Jucundus",2666,0.06,24,"Wheat Ale",16,"Mike Hess Brewing Company","San Diego","CA","West"
"28",4,"Habitus",2664,0.08,100,"American Double / Imperial IPA",16,"Mike Hess Brewing Company","San Diego","CA","West"
"29",4,"Grazias",2663,0.063,30,"Cream Ale",16,"Mike Hess Brewing Company","San Diego","CA","West"
"30",4,"Claritas",2662,0.058,28,"Kölsch",16,"Mike Hess Brewing Company","San Diego","CA","West"
"31",5,"Park",2661,0.047,19,"American Pale Wheat Ale",12,"Fort Point Beer Company","San Francisco","CA","West"
"32",5,"Westfalia",2660,0.056,16,"American Amber / Red Ale",12,"Fort Point Beer Company","San Francisco","CA","West"
"33",5,"KSA",2659,0.046,17,"Kölsch",12,"Fort Point Beer Company","San Francisco","CA","West"
"34",5,"Villager",2658,0.063,42,"American IPA",12,"Fort Point Beer Company","San Francisco","CA","West"
"35",6,"Blackbeard",2657,0.093,NA,"American Double / Imperial Stout",12,"COAST Brewing Company","Charleston","SC","South"
"36",6,"Rye Knot",2656,0.062,NA,"American Brown Ale",12,"COAST Brewing Company","Charleston","SC","South"
"37",6,"Dead Arm",2655,0.06,NA,"American Pale Ale (APA)",12,"COAST Brewing Company","Charleston","SC","South"
"38",6,"32°/50° Kölsch ",2654,0.048,NA,"Kölsch",16,"COAST Brewing Company","Charleston","SC","South"
"39",6,"HopArt",2653,0.077,NA,"American IPA",16,"COAST Brewing Company","Charleston","SC","South"
"40",6,"Boy King",2652,0.097,NA,"American Double / Imperial IPA",16,"COAST Brewing Company","Charleston","SC","South"
"41",7,"Denver Pale Ale (Artist Series No. 1)",2650,0.05,NA,"American Pale Ale (APA)",12,"Great Divide Brewing Company","Denver","CO","West"
"42",7,"Hibernation Ale",2649,0.087,NA,"Old Ale",12,"Great Divide Brewing Company","Denver","CO","West"
"43",7,"Whitewater",2648,0.061,NA,"American Pale Wheat Ale",12,"Great Divide Brewing Company","Denver","CO","West"
"44",7,"Rumble",2647,0.071,NA,"American IPA",12,"Great Divide Brewing Company","Denver","CO","West"
"45",7,"Orabelle",2646,0.083,NA,"Tripel",12,"Great Divide Brewing Company","Denver","CO","West"
"46",7,"Lasso",2645,0.05,NA,"American IPA",12,"Great Divide Brewing Company","Denver","CO","West"
"47",7,"Yeti  Imperial Stout",2644,0.095,75,"Russian Imperial Stout",12,"Great Divide Brewing Company","Denver","CO","West"
"48",7,"Colette",2643,0.073,NA,"Saison / Farmhouse Ale",12,"Great Divide Brewing Company","Denver","CO","West"
"49",7,"Titan IPA",2642,0.071,NA,"American IPA",12,"Great Divide Brewing Company","Denver","CO","West"
"50",8,"Peck's Porter",2640,0.065,35,"American Porter",16,"Tapistry Brewing","Bridgman","MI","Midwest"
"51",8,"Reactor",2448,0.07,NA,"American IPA",16,"Tapistry Brewing","Bridgman","MI","Midwest"
"52",8,"Mr. Orange",2447,0.057,NA,"Witbier",16,"Tapistry Brewing","Bridgman","MI","Midwest"
"53",9,"Dark Star",2639,0.08,54,"American Stout",16,"Big Lake Brewing","Holland","MI","Midwest"
"54",9,"Ryecoe",2469,0.062,NA,"American IPA",16,"Big Lake Brewing","Holland","MI","Midwest"
"55",10,"G. B. Russo’s Italian Pistachio Pale Ale",2638,0.052,NA,"American Pale Ale (APA)",16,"The Mitten Brewing Company","Grand Rapids","MI","Midwest"
"56",11,"Belfort",2637,0.067,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"57",11,"Star Runner",2636,0.06,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"58",11,"Tart Side of the Barrel",2598,0.098,NA,"American Double / Imperial Stout",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"59",11,"Linnaeus Mango IPA",2597,0.06,NA,"American IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"60",11,"Beasts A'Burnin'",2548,0.07,NA,"Rauchbier",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"61",11,"Verdun",2542,0.077,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"62",11,"Barrel Aged Triomphe",2541,0.065,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"63",11,"Cherry Doppelbock",2504,0.065,NA,"Doppelbock",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
